id,guild,boss
605879,Final Exit+Honorus,Hydross:4
605879,Final Exit+Honorus,Lurker:4
605879,Final Exit+Honorus,Leotheras:4
605879,Final Exit+Honorus,Karathress:4
605879,Final Exit+Honorus,Morogrim:4
605879,Final Exit+Honorus,Vashj:0
605890,Dreamstate,Hydross:3
605890,Dreamstate,Lurker:3
605890,Dreamstate,Leotheras:3
605890,Dreamstate,Karathress:4
605890,Dreamstate,Morogrim:4
605890,Dreamstate,Vashj:3
605948,Lethality,Hydross:3
605948,Lethality,Lurker:3
605948,Lethality,Leotheras:3
605948,Lethality,Karathress:3
605948,Lethality,Morogrim:0
605948,Lethality,Vashj:0
606014,Inquisition,Hydross:0
606014,Inquisition,Lurker:3
606014,Inquisition,Leotheras:0
606014,Inquisition,Karathress:0
606014,Inquisition,Morogrim:0
606014,Inquisition,Vashj:0
606083,Void,Hydross:4
606083,Void,Lurker:4
606083,Void,Leotheras:4
606083,Void,Karathress:4
606083,Void,Morogrim:4
606083,Void,Vashj:0
606695,Genesis+Omega,Hydross:0
606695,Genesis+Omega,Lurker:3
606695,Genesis+Omega,Leotheras:0
606695,Genesis+Omega,Karathress:0
606695,Genesis+Omega,Morogrim:0
606695,Genesis+Omega,Vashj:0
606701,Untamed,Hydross:4
606701,Untamed,Lurker:4
606701,Untamed,Leotheras:4
606701,Untamed,Karathress:4
606701,Untamed,Morogrim:4
606701,Untamed,Vashj:0
606781,Eclypse,Hydross:4
606781,Eclypse,Lurker:4
606781,Eclypse,Leotheras:4
606781,Eclypse,Karathress:4
606781,Eclypse,Morogrim:4
606781,Eclypse,Vashj:0
608427,Clan Bloodfist,Hydross:4
608427,Clan Bloodfist,Lurker:4
608427,Clan Bloodfist,Leotheras:4
608427,Clan Bloodfist,Karathress:4
608427,Clan Bloodfist,Morogrim:4
608427,Clan Bloodfist,Vashj:0
608923,Schicksal,Hydross:0
608923,Schicksal,Lurker:3
608923,Schicksal,Leotheras:3
608923,Schicksal,Karathress:0
608923,Schicksal,Morogrim:0
608923,Schicksal,Vashj:0
608951,Group Therapy+Interim,Hydross:3
608951,Group Therapy+Interim,Lurker:3
608951,Group Therapy+Interim,Leotheras:3
608951,Group Therapy+Interim,Karathress:0
608951,Group Therapy+Interim,Morogrim:0
608951,Group Therapy+Interim,Vashj:0
609568,Endurance,Hydross:0
609568,Endurance,Lurker:3
609568,Endurance,Leotheras:3
609568,Endurance,Karathress:0
609568,Endurance,Morogrim:0
609568,Endurance,Vashj:0
